category,product_name,template_title,unit,small_name,medium_name,large_name,small_qty,medium_qty,large_qty,small_id,medium_id,large_id,group_id,product_id,rating,natural_price,multi_option_group,url
Cookies,Grace Animal Crackers Original 1 oz (6 Cookies) - Galletas de Animales (Pack of 4),Animal Crackers Original,pack,Pack of 1,Pack of 2,Pack of 3,1.0,2.0,3.0,74712,74713,74714,12650,22586,20%,$15.63,False,http://localhost:7770/grace-animal-crackers-original-1-oz-6-cookies-galletas-de-animales-pack-of-4.html
Cheese,Frank and Sal - Genuine Grana Padano Aged 24 Months Italian Import. (3 Pound),Genuine Grana Padano Aged 24 Months Italian Import,lb,1 Pound,2 Pound,3 Pound,1.0,2.0,3.0,185459,185460,185461,29976,44424,,$49.99,False,http://localhost:7770/frank-and-sal-genuine-grana-padano-aged-24-months-italian-import-3-pound.html
Cookies,Bakers Cream Crackers 200g (Pack of 2) Imported from South Africa,Cream Crackers,pack,Pack of 2,Pack of 4,Pack of 6,2.0,4.0,6.0,72906,72907,72908,12292,21375,,$10.99,False,http://localhost:7770/bakers-cream-crackers-200g-pack-of-2-imported-from-south-africa.html
Cookies,Richeese Nabati Cheese Wafer 8g (20 Piece),Cheese Wafer,count,40 Piece,60 Piece,80 Piece,40.0,60.0,80.0,186848,186849,186850,30248,45488,,$14.33,False,http://localhost:7770/richeese-nabati-cheese-wafer-8g-20-piece.html
Chocolate,SweetGourmet Caramel Apple Candy Corn | Fall Candy | 2 Pounds,Caramel Apple Candy Corn,lb,1 Pound,2 Pound,3 Pound,1.0,2.0,3.0,186947,186948,186949,30273,45546,,$13.56,False,http://localhost:7770/sweetgourmet-caramel-apple-candy-corn-fall-candy-2-pounds.html
Cookies,Cambridge & Thames Danish Style Butter Cookies 12 oz (3 pack),Danish Style Butter Cookies,pack,1 pack,2 pack,3 pack,1.0,2.0,3.0,336613,336614,336615,54943,47622,,$36.99,False,http://localhost:7770/cambridge-thames-danish-style-butter-cookies-12-oz-3-pack.html
Chocolate,Dark Chocolate Nonpareils - 1 LB Resealable Stand Up Candy Bag - Chocolate Discs Topped with White Nonpareils - Gourmet Chocolates - Bulk Candies for Parties or Holidays,Dark Chocolate Nonpareils,lb,1 Pound (Pack of 1),2 Pound (Pack of 1),3 Pound (Pack of 1),1.0,2.0,3.0,437874,437875,437876,70915,103693,87%,$12.99,False,http://localhost:7770/dark-chocolate-nonpareils-1-lb-resealable-stand-up-candy-bag-chocolate-discs-topped-with-white-nonpareils-gourmet-chocolates-bulk-candies-for-parties-or-holidays.html
Cookies,Garlic Parmesan Bread Chips 3oz by Magic Flavors With Free Sample (2pk),Garlic Parmesan Bread Chips,pack,1pk,2pk,3pk,1.0,2.0,3.0,330541,330542,330543,53780,79772,,$20.59,False,http://localhost:7770/garlic-parmesan-bread-chips-3oz-by-magic-flavors-with-free-sample-2pk.html
Chocolate,Mrs. Cavanaugh's Opera Creme Milk Chocolate 1-lb,Opera Creme Milk Chocolate,lb,1 Pound,2 Pound,3 Pound,1.0,2.0,3.0,437245,437246,437247,70772,103152,,$27.99,False,http://localhost:7770/mrs-cavanaugh-s-opera-creme-milk-chocolate-1-lb.html
Cookies,Entenmann's Ultimate Holiday Cookie Collection - 4 Pack,Ultimate Holiday Cookie Collection,pack,3-Pack,6-Pack,9-Pack,3.0,6.0,9.0,435498,435500,435501,70438,102021,,$53.28,False,http://localhost:7770/entenmann-s-ultimate-holiday-cookie-collection-4-pack.html
Chocolate,Gourmet Greek Yogurt Coated Blueberries (1 lb),Greek Yogurt Coated Blueberries,lb,1 Pound,2 Pound,3 Pound,1.0,2.0,3.0,386669,386670,386671,62796,90391,,$18.99,False,http://localhost:7770/gourmet-greek-yogurt-coated-blueberries-1-lb.html
Cheese,BelGioioso Pre-Sliced RBST and Gluten Free Fresh Snacking Mozzarella Cheese - 2 Pack (32 oz. each),Fresh Snacking Mozzarella Cheese (32 oz each),pack,2 Pack,3 Pack,4 Pack,2.0,3.0,4.0,328358,328359,328360,53317,78105,,$59.00,False,http://localhost:7770/belgioioso-pre-sliced-rbst-and-gluten-free-fresh-snacking-mozzarella-cheese-2-pack-32-oz-each.html
Cheese,Wellsley Farms Parmesan Cheese - 24 oz. (Pack of 1),Parmesan Cheese,pack,1 × 24 oz,2 × 24 oz,3 × 24 oz,1.0,2.0,3.0,332077,332078,332079,54021,80649,,$19.95,False,http://localhost:7770/wellsley-farms-parmesan-cheese-24-oz-pack-of-1.html
Chocolate,Mrs. Cavanaugh's Lemon Creme Milk Chocolate 1-lb,Lemon Creme Milk Chocolate,lb,1 Pound,2 Pound,3 Pound,1.0,2.0,3.0,330563,330564,330565,53784,79778,,$27.99,False,http://localhost:7770/mrs-cavanaugh-s-lemon-creme-milk-chocolate-1-lb.html
Cheese,Pepper Joe’s Ghost Pepper Cheese Curds – World-Famous Wisconsin Cheese Curds with Spicy All-Natural Flavor – Hot Ghost Chile Pepper Cheese Curds - 10 Ounces,Pepper Joe’s Ghost Pepper Cheese Curds,pack,1 Pack,2 Pack,3 Pack,1.0,2.0,3.0,334588,334589,334590,54530,46185,,$26.06,False,http://localhost:7770/pepper-joe-s-ghost-pepper-cheese-curds-world-famous-wisconsin-cheese-curds-with-spicy-all-natural-flavor-hot-ghost-chile-pepper-cheese-curds-10-ounces.html
Cookies,Japanese Bourbon Cookies (Pack of 2) (Lubera),Bourbon Cookies,pack,1 Pack,2 Pack,3 Pack,1.0,2.0,3.0,75565,75566,75567,12827,23200,,$8.88,False,http://localhost:7770/japanese-bourbon-cookies-pack-of-2-lubera.html
Yogurt,"Chobani Fruit on the Bottom Non-Fat Delicious Greek Yogurt - Only Natural Ingredients - Strawberry - Blueberry - Peach and Black Cherry - 2 Pack (20 x 5.3 oz, Each)",Fruit on the Bottom Non-Fat Delicious Greek Yogurt — 20 Cups per Pack,pack,2 - Pack,3 - Pack,4 - Pack,2.0,3.0,4.0,340950,340951,340952,55786,48607,,$99.99,False,http://localhost:7770/chobani-fruit-on-the-bottom-non-fat-delicious-greek-yogurt-only-natural-ingredients-strawberry-blueberry-peach-and-black-cherry-2-pack-20-x-5-3-oz-each.html
Breads,Pandesal Sweet Rolls 12ct by Magic Flavors With Free Sample (1pk),Sweet Rolls,pack,1pk,2pk,3pk,1.0,2.0,3.0,329908,329909,329910,53650,79257,,$19.99,False,http://localhost:7770/pandesal-sweet-rolls-12ct-by-magic-flavors-with-free-sample-1pk.html
Cookies,Scott's Cakes Mint Chip & Chocolate Chip Cookies in a 1 Pound Plastic Deli Container,Mint Chip & Chocolate Chip Cookies,lb,1 Pound,2 Pound,3 Pound,1.0,2.0,3.0,72491,72492,72493,12195,21011,,$13.95,False,http://localhost:7770/scott-s-cakes-mint-chip-chocolate-chip-cookies-in-a-1-pound-plastic-deli-container.html
Chocolate,"Supreme Sweets Candy Mix Gift Bag - Russian, Polish & Ukrainian Candy Mix - Ulitimate Assortment of Chocolate and Caramel Party Candy Mix of Eastern European Candies– Variety of Russian, Polish & Ukrainian Candy (1.4kg / 3 lbs)","Russian, Polish & Ukrainian Candy Mix",lb,450g / 1 lb,900g / 2 lbs,1.4kg / 3 lbs,1.0,2.0,3.0,75154,75155,75151,12729,22861,,$41.99,False,http://localhost:7770/supreme-sweets-candy-mix-gift-bag-russian-polish-ukrainian-candy-mix-ulitimate-assortment-of-chocolate-and-caramel-party-candy-mix-of-eastern-european-candies-variety-of-russian-polish-ukrainian-candy-1-4kg-3-lbs.html
Cookies,French Cookies LU Barquettes Strawberry,French Cookies LU Barquettes Strawberry,pack,2 PACK,4 PACK,7 PACK,2.0,4.0,7.0,185931,185932,185933,30070,44786,,$10.80,False,http://localhost:7770/french-cookies-lu-barquettes-strawberry.html
Cereals,"Organic Cracked Wheat Berries, 2.5 Pounds - Non-GMO. Cleaned, Crushed & Sifted Hard Red Winter Groats. Raw, Vegan, Kosher, Bulk Dalia. Broken Whole Grain, Great for Cereal & Porridge","Organic Cracked Wheat Berries - Non-GMO. Cleaned, Crushed & Sifted Hard Red Winter Groats",lb,2.5 Pound,5 Pound,9 Pound,2.5,5.0,9.0,335875,335876,335877,54799,47084,,$27.99,False,http://localhost:7770/organic-cracked-wheat-berries-2-5-pounds-non-gmo-cleaned-crushed-sifted-hard-red-winter-groats-raw-vegan-kosher-bulk-dalia-broken-whole-grain-great-for-cereal-porridge.html
Chocolate,Crunch Snack Size Chocolate Bar - Creamy Milk Chocolate and Crisped Rice - Individually wrapped Snack Size Crunch Candy bars – Bulk Pack (4 Pound),Chocolate Bar - Creamy Milk Chocolate and Crisped Rice - Individually wrapped Snack Size Crunch Candy bars – Bulk Pack,lb,1 Pound,2 Pound,4 Pound,1.0,2.0,4.0,74588,74589,74590,12612,22456,,$29.95,False,http://localhost:7770/crunch-snack-size-chocolate-bar-creamy-milk-chocolate-and-crisped-rice-individually-wrapped-snack-size-crunch-candy-bars-bulk-pack-4-pound.html
Cookies,"OPLATKI Traditional Christmas Wafers, Set of 12",Traditional Christmas Wafers,count,6 Count,8 Piece,12 Count,6.0,8.0,12.0,436121,436122,436123,70542,102384,93%,$14.99,False,http://localhost:7770/oplatki-traditional-christmas-wafers-set-of-12.html
Cereals,"Organic Golden Crunchy Granola, 12 Ounces - Small Batch, Handcrafted, Bulk, Great as Snack and for Breakfast Cereals, Contains Hazelnuts, Pecan Nuts, Almonds, Coconut, Flax and Sunflower Seeds",Golden Crunchy Granola,lb,0.375 Pound,0.75 Pound,1.5 Pound,0.375,0.75,1.5,335259,335260,335261,54658,46606,,$12.49,False,http://localhost:7770/organic-golden-crunchy-granola-12-ounces-small-batch-handcrafted-bulk-great-as-snack-and-for-breakfast-cereals-contains-hazelnuts-pecan-nuts-almonds-coconut-flax-and-sunflower-seeds.html
Cereals,"Organic Rolled Oats, 10 Pounds - Old-Fashioned, 100% Whole Grain, Non-GMO, Kosher, Bulk, Product of the USA","Organic Rolled Oats - Old-Fashioned, 100% Whole Grain, Non-GMO, Kosher, Bulk",lb,5 Pound,10 Pound,20 Pound,5.0,10.0,20.0,334551,334552,334553,54521,46141,,$38.49,False,http://localhost:7770/organic-rolled-oats-10-pounds-old-fashioned-100-whole-grain-non-gmo-kosher-bulk-product-of-the-usa.html
Cookies,Bourbon Petit dark flour wafers 42g X 10 this,Petit dark flour wafers,pack,3 Pack,5 Pack,10 Pack,3.0,5.0,10.0,436172,436173,436174,70559,102417,,$57.70,False,http://localhost:7770/bourbon-petit-dark-flour-wafers-42g-x-10-this.html
Cookies,Bourbon Japan Mini Chocolate Chips 58g x 10 sticks,Japan Mini Chocolate Chips,pack,3 Pack,5 Pack,10 Pack,3.0,5.0,10.0,329003,329004,329005,53454,78559,,$26.00,False,http://localhost:7770/bourbon-japan-mini-chocolate-chips-58g-x-10-sticks.html
Yogurt,Kefir Starter Cultures - Pack of Freeze-Dried Culture Sachets For Creamy and Mild Milk Kefir (3 sachets),Kefir Starter Cultures - Pack of Freeze-Dried Culture Sachets For Creamy and Mild Milk Kefir,count,3 Count (Pack of 1),5 Count (Pack of 1),12 Count (Pack of 1),3.0,5.0,12.0,73460,73461,73462,12383,21732,93%,$6.28,False,http://localhost:7770/kefir-starter-cultures-pack-of-freeze-dried-culture-sachets-for-creamy-and-mild-milk-kefir-3-sachets.html
Chocolate,"Good 'n' Fun Triple Flavor Twists, Treat Your Dog to Premium Cuts of Real Meat with Rawhide",Triple Flavor Twists,count,144 Count,154 Count,420 Count,144.0,154.0,420.0,330263,330264,330265,53721,79550,,$6.99,False,http://localhost:7770/good-n-fun-triple-flavor-twists-treat-your-dog-to-premium-cuts-of-real-meat-with-rawhide.html
Cookies,"Nola Ouma Condensed Milk Rusks (Pack of 4), Blue",Condensed Milk Rusks,pack,Pack of 1,Pack of 4,Pack of 6,1.0,4.0,6.0,76164,76166,76167,12963,23661,,$24.90,False,http://localhost:7770/nola-ouma-condensed-milk-rusks-pack-of-4-blue.html
Chocolate,"Missy J’s Organic Roasted Carob Powder 8 Ounce 1 Pack | Carob Made w/Coconut Sugar, Vegan and Gluten-Free | Healthy Caffeine Free Substitute for Chocolate, Perfect for Snacks and Treats",Missy J’s Organic Roasted Carob Powder,pack,1 Pack,3 Pack,6 Pack,1.0,3.0,6.0,185401,185402,185403,29964,44374,,$9.59,False,http://localhost:7770/missy-j-s-organic-roasted-carob-powder-8-ounce-1-pack-carob-made-w-coconut-sugar-vegan-and-gluten-free-healthy-caffeine-free-substitute-for-chocolate-perfect-for-snacks-and-treats.html
Chocolate,"Missy J's Organic Carob Chips 8 Ounce 6 Pack | Carob Made w/Coconut Sugar, Vegan and Gluten-Free | Healthy Caffeine Free Substitute for Chocolate, Perfect for Snacks and Treats",Organic Carob Chips,pack,1 Pack,3 Pack,6 Pack,1.0,3.0,6.0,328478,328479,328480,53340,78185,,$64.61,False,http://localhost:7770/missy-j-s-organic-carob-chips-8-ounce-6-pack-carob-made-w-coconut-sugar-vegan-and-gluten-free-healthy-caffeine-free-substitute-for-chocolate-perfect-for-snacks-and-treats.html
Cereals,"OliveNation Premium Puffed Buckwheat Kernels, Low Sugar Healthy Grain for Breakfast, Baking, Cooking, Snacking, Non-GMO, Gluten Free, Vegan - 1 lb",Premium Puffed Buckwheat Kernels,lb,2 Pound,5 Pound,10 Pound,2.0,5.0,10.0,337549,337550,337551,55139,49000,,$10.99,False,http://localhost:7770/olivenation-premium-puffed-buckwheat-kernels-low-sugar-healthy-grain-for-breakfast-baking-cooking-snacking-non-gmo-gluten-free-vegan-1-lb.html
Chocolate,Assorted Flavors Chocolate Covered Roasted Espresso Beans (New York Mix) 2 Pound,Chocolate Covered Roasted Espresso Beans,lb,1 Pound (Pack of 1),2 Pound (Pack of 1),5 Pound (Pack of 1),1.0,2.0,5.0,386330,386331,386332,62735,90180,73%,$43.55,False,http://localhost:7770/assorted-flavors-chocolate-covered-roasted-espresso-beans-new-york-mix-2-pound.html
Chocolate,"Milk Chocolate Covered Raisins, 5 Pound",Milk Chocolate Covered Raisins,lb,1 Pound (Pack of 1),2 Pound (Pack of 1),5 Pound (Pack of 1),1.0,2.0,5.0,337056,337057,337058,55022,47853,,$44.99,False,http://localhost:7770/milk-chocolate-covered-raisins-5-pound.html
Chocolate,"UNREAL Dark Chocolate Peanut Butter Cups | 5g Sugar | Certified Vegan, Gluten Free, Fair Trade, Non-GMO | No Sugar Alcohols or Soy | 3 Bags",Dark Chocolate Peanut Butter Cups,oz,2.53 Ounce (Pack of 12),4.19 Ounce (Pack of 3),13.75oz (Pack of 1),2.53,4.19,13.75,331533,331534,331536,53929,80276,60%,$24.99,False,http://localhost:7770/unreal-dark-chocolate-peanut-butter-cups-5g-sugar-certified-vegan-gluten-free-fair-trade-non-gmo-no-sugar-alcohols-or-soy-3-bags.html
Toothpaste,"Premier 9007280 Enamelon Fluoride Toothpaste, 122 G,- Mint Breeze (Pack of 3)","Enamelon Fluoride Toothpaste, ,- Mint Breeze",pack,Pack Of 2,Pack Of 3,Pack of 12,2.0,3.0,12.0,206279,206280,206281,34268,57985,,$59.95,False,http://localhost:7770/premier-9007280-enamelon-fluoride-toothpaste-122-g-mint-breeze-pack-of-3.html
