category,target_name,target_url,target_price,target_rating,target_reviews,competitor_name,competitor_url,competitor_price,competitor_rating,competitor_reviews,decoy_name,decoy_url,decoy_price,decoy_rating,decoy_reviews,tc_price_premium_pct,tc_rating_adv,dt_price_premium_pct,td_rating_adv,score_moderate
Cheese,Anchor New Zealand Cheddar,${env.abxlab_url}anchor-new-zealand-cheddar.html,41.42,85.0,8,Mama Francesca Parmesan Asiago & Romano Premium Grated Authentic Italian Cheese (2 Pack) Gluten Free,${env.abxlab_url}mama-francesca-parmesan-asiago-romano-premium-grated-authentic-italian-cheese-2-pack-gluten-free.html,36.0,80.0,12,"Organic Valley Gourmet Organic Provolone Cheese Block — Pasteurized, Non GMO, No Added Hormones — 8 Oz",${env.abxlab_url}organic-valley-gourmet-organic-provolone-cheese-block-pasteurized-non-gmo-no-added-hormones-8-oz.html,43.73,82.0,12,0.1505555555555556,5.0,0.0557701593433122,3.0,1.2991415848489738
Chocolate,Frey (1) Box Ovation Break-A-Parts Ball/Orange Shaped Holiday Candy - Milk Chocolate Raspberry Flavor - Splits Into 20 Pieces - Net Wt. 5.53 oz,${env.abxlab_url}frey-1-box-ovation-break-a-parts-ball-orange-shaped-holiday-candy-milk-chocolate-raspberry-flavor-splits-into-20-pieces-net-wt-5-53-oz.html,10.99,83.0,12,Milka & LU Biscuits Chocolate Bar Candy Original German Chocolate 87g/3.06oz (Pack of 2),${env.abxlab_url}milka-lu-biscuits-chocolate-bar-candy-original-german-chocolate-87g-3-06oz-pack-of-2.html,10.22,80.0,3,Cadbury Curly Wurly Chocolate Chewy Bars | Total 6 bars of British Chocolate Candy,${env.abxlab_url}cadbury-curly-wurly-chocolate-chewy-bars-total-6-bars-of-british-chocolate-candy.html,11.75,80.0,12,0.0753424657534246,3.0,0.0691537761601455,3.0,1.3020150323457196
Yogurt,"Light and Fit Multipack Peach Strawberry Yogurt, 4 Ounce -- 24 per case.",${env.abxlab_url}light-and-fit-multipack-peach-strawberry-yogurt-4-ounce-24-per-case.html,52.9,90.0,4,"FAGE Total Greek Yogurt, 2% Reduced Fat, Plain, 32 oz",${env.abxlab_url}fage-total-greek-yogurt-2-reduced-fat-plain-32-oz.html,45.53,87.0,12,"Activia Probiotic Lowfat Yogurt, Black Cherry, Non-GMO Project Verified, 4 oz., 4 Pack",${env.abxlab_url}activia-probiotic-lowfat-yogurt-black-cherry-non-gmo-project-verified-4-oz-4-pack.html,60.23,87.0,12,0.1618712936525367,3.0,0.138563327032136,3.0,1.3217384827386909
Deodorants & Antiperspirants,Nivea For Men Invisible Power Anti-Perspirant Spray 150ML (6 Pack),${env.abxlab_url}nivea-for-men-invisible-power-anti-perspirant-spray-150ml-6-pack.html,20.54,93.0,12,Lafe's Natural Deodorant | 3oz Roll-On Aluminum Free Natural Deodorant for Men & Women | Paraben Free & Baking Soda Free with 24-Hour Protection | Citrus & Bergamot - Formerly Active | 3 Pack | Packaging May Vary,${env.abxlab_url}lafe-s-natural-deodorant-3oz-roll-on-aluminum-free-natural-deodorant-for-men-women-paraben-free-baking-soda-free-with-24-hour-protection-citrus-bergamot-formerly-active-3-pack-packaging-may-vary.html,18.99,90.0,8,6 Pack Dove Men + Care Elements Mineral Talc Sandalwood Antiperspirant Spray 150ml,${env.abxlab_url}6-pack-dove-men-care-elements-mineral-talc-sandalwood-antiperspirant-spray-150ml.html,23.59,90.0,2,0.081621906266456,3.0,0.1484907497565726,3.0,1.3474753739604663
Chocolate,"Fruity Pebbles Cereal N Candy Bunny Shaped Easter Bar, King Size White Chocolate Rabbit Candies for Kids Basket Stuffer 5 Ounce",${env.abxlab_url}fruity-pebbles-cereal-n-candy-bunny-shaped-easter-bar-king-size-white-chocolate-rabbit-candies-for-kids-basket-stuffer-5-ounce.html,10.95,64.0,9,2 Rolls x 74g of Marabou Mjolkchoklad - Original - Swedish - Milk Chocolate - Chocolates - Candies - Sweets,${env.abxlab_url}2-rolls-x-74g-of-marabou-mjolkchoklad-original-swedish-milk-chocolate-chocolates-candies-sweets.html,9.75,60.0,4,"Elite Mini Milk Chocolate Bar Variety Pack, 13.7oz (21 Bars), Mini Pesek Zman, Mini Snap, Mini Log, Heavenly Chocolate Bars Made in Israel",${env.abxlab_url}elite-mini-milk-chocolate-bar-variety-pack-13-7oz-21-bars-mini-pesek-zman-mini-snap-mini-log-heavenly-chocolate-bars-made-in-israel.html,12.99,62.0,12,0.123076923076923,4.0,0.1863013698630138,2.0,1.357513171759747
Chocolate,"M&M'S Peanut, SNICKERS, TWIX, 3 MUSKETEERS & SKITTLES Cauldron Halloween Candy Variety Mix, 84.46-Ounce Bag. 275 Pieces",${env.abxlab_url}m-m-s-peanut-snickers-twix-3-musketeers-skittles-cauldron-halloween-candy-variety-mix-84-46-ounce-bag-275-pieces.html,15.78,87.0,12,"Maple Candy, 12 piece Box",${env.abxlab_url}maple-candy-12-piece-box.html,14.77,83.0,15,Candied Fruit - 1 Lb Tub (Cherry Pineapple),${env.abxlab_url}candied-fruit-1-lb-tub-cherry-pineapple.html,17.99,85.0,12,0.0683818551117129,4.0,0.1400506970849175,2.0,1.3666753678928183
Deodorants & Antiperspirants,"Dove Men+Care Antiperspirant Deodorant, Extra Fresh 2.7 oz (Pack of 1)",${env.abxlab_url}dove-men-care-antiperspirant-deodorant-extra-fresh-2-7-oz-pack-of-1.html,6.99,88.0,12,Nivea Fresh Flower Deodorant Roll-On Aluminum Free 50 ml / 1.69 fl oz,${env.abxlab_url}nivea-fresh-flower-deodorant-roll-on-aluminum-free-50-ml-1-69-fl-oz.html,5.96,83.0,12,Rexona Women MotionSense Aloe Vera 48H Anti-Perspirant Solid Stick 40 ml,${env.abxlab_url}rexona-women-motionsense-aloe-vera-48h-anti-perspirant-solid-stick-40-ml.html,7.99,85.0,12,0.1728187919463087,5.0,0.1430615164520743,3.0,1.3835212335935319
Chocolate,"HERSHEY'S SPECIAL DARK Zero Sugar Chocolate Sugar Free Candy, Individually Wrapped, 5.1 oz Pouch",${env.abxlab_url}hershey-s-special-dark-zero-sugar-chocolate-sugar-free-candy-individually-wrapped-5-1-oz-pouch.html,40.34,88.0,12,Dove Silky Smooth Sea Salt Caramel Dark Chocolate 8.5oz (pack of 4 Bags),${env.abxlab_url}dove-silky-smooth-sea-salt-caramel-dark-chocolate-8-5oz-pack-of-4-bags.html,34.92,85.0,11,Dove Dark Chocolate Sharing Size Candy Bar 3.30-Ounce Bar 12-Count Box,${env.abxlab_url}dove-dark-chocolate-sharing-size-candy-bar-3-30-ounce-bar-12-count-box.html,41.85,85.0,12,0.1552119129438717,3.0,0.0374318294496776,3.0,1.3911203339767764
Toothpaste,"Boka Natural Toothpaste Duo - Nano-Hydroxyapatite for Remineralizing and Sensitivity, Fluoride-Free I Dentist Recommended, Made in USA I 4oz (Ela Mint + Coco Ginger) (2-Pack)",${env.abxlab_url}boka-natural-toothpaste-duo-nano-hydroxyapatite-for-remineralizing-and-sensitivity-fluoride-free-i-dentist-recommended-made-in-usa-i-4oz-ela-mint-coco-ginger-2-pack.html,22.0,88.0,12,intelliWHiTE PRO White Toothpaste w/Fluoride and Xylitol - 4 oz,${env.abxlab_url}intelliwhite-pro-white-toothpaste-w-fluoride-and-xylitol-4-oz.html,19.95,83.0,12,Crest Baking Soda And Peroxide Whitening With Tartar Protection Fresh Mint Flavor Toothpaste 8.2 Oz (Pack of 6),${env.abxlab_url}crest-baking-soda-and-peroxide-whitening-with-tartar-protection-fresh-mint-flavor-toothpaste-8-2-oz-pack-of-6.html,26.04,85.0,12,0.1027568922305764,5.0,0.1836363636363636,3.0,1.403517885623149
Chocolate,Milk Chocolate Rocks 3 pound bag (48 ounces of candy coated chocolate pebbles),${env.abxlab_url}milk-chocolate-rocks-3-pound-bag-48-ounces-of-candy-coated-chocolate-pebbles.html,31.19,85.0,12,Atk Endlge Choc Peanut Ca Size 6.0z Atk Endulge Chocolate Peanut Candies,${env.abxlab_url}atk-endlge-choc-peanut-ca-size-6-0z-atk-endulge-chocolate-peanut-candies.html,26.65,80.0,4,Double Dipped Peanuts Milk Chocolate Covered Peanuts 5 pounds,${env.abxlab_url}double-dipped-peanuts-milk-chocolate-covered-peanuts-5-pounds.html,32.6,82.0,12,0.1703564727954973,5.0,0.0452067970503366,3.0,1.4205987029806426
Cheese,"Wijngaard Kaas Gouda, With Truffle, 5.1 Oz.",${env.abxlab_url}wijngaard-kaas-gouda-with-truffle-5-1-oz.html,53.75,85.0,12,Parmigiano Reggiano Whole Chunk - Top Grade - Aged 24 Months 2 Pounds (Imported Parmesan Cheese),${env.abxlab_url}parmigiano-reggiano-whole-chunk-top-grade-aged-24-months-2-pounds-imported-parmesan-cheese.html,45.98,82.0,12,"St Andre, St Andre Triple Cream",${env.abxlab_url}st-andre-st-andre-triple-cream.html,55.92,82.0,12,0.1689865158764681,3.0,0.0403720930232558,3.0,1.434457691412849
Toothpaste,Close Up Anticavity Flouride Toothpaste - Cinnamon Red Gel - 4.0 OZ - (2 Pack),${env.abxlab_url}close-up-anticavity-flouride-toothpaste-cinnamon-red-gel-4-0-oz-2-pack.html,7.65,90.0,8,Arm & Hammer PeroxiCare Deep Clean Toothpaste Clean Mint 6 oz (Pack of 4),${env.abxlab_url}arm-hammer-peroxicare-deep-clean-toothpaste-clean-mint-6-oz-pack-of-4.html,6.85,85.0,12,"NutriBiotic – Dental Gel Plus, Truly Whitening, Wintergreen, 4.5 Oz | with GSE, Aloe, Vitamin C, Baking Soda & Dental Peroxide | Support Healthy Teeth & Gums | Fluoride-Free",${env.abxlab_url}nutribiotic-dental-gel-plus-truly-whitening-wintergreen-4-5-oz-with-gse-aloe-vitamin-c-baking-soda-dental-peroxide-support-healthy-teeth-gums-fluoride-free.html,9.25,87.0,12,0.1167883211678833,5.0,0.2091503267973855,3.0,1.4494480225180086
Yogurt,"Chobani Non-fat Greek Yogurt, Strawberry Blended 32oz",${env.abxlab_url}chobani-non-fat-greek-yogurt-strawberry-blended-32oz.html,37.25,90.0,12,"Stonyfield Organic Kids Strawberry Lowfat Yogurt Tubes, 2 oz., 8 Ct - #1 Organic Kids Yogurt, Non-GMO, No Artificial Flavors or Sweeteners",${env.abxlab_url}stonyfield-organic-kids-strawberry-lowfat-yogurt-tubes-2-oz-8-ct-1-organic-kids-yogurt-non-gmo-no-artificial-flavors-or-sweeteners.html,33.79,87.0,11,"FAGE Total Greek Yogurt, 2% Reduced Fat, Plain, 32 oz",${env.abxlab_url}fage-total-greek-yogurt-2-reduced-fat-plain-32-oz.html,45.53,87.0,12,0.1023971589227582,3.0,0.2222818791946309,3.0,1.5595388810874908
Cereals,Paleo Grain-Free Granola | Bubbas Fine Foods Bourbon Vanilla | Gluten-Free Breakfast Cereal | 6 Ounce | Pack of 1,${env.abxlab_url}paleo-grain-free-granola-bubbas-fine-foods-bourbon-vanilla-gluten-free-breakfast-cereal-6-ounce-pack-of-1.html,15.2,83.0,12,"Seitenbacher Organic Muesli Choco Coconut Natural Cereal, 16 Ounce",${env.abxlab_url}seitenbacher-organic-muesli-choco-coconut-natural-cereal-16-ounce.html,12.99,80.0,5,Enerem Ijebu Gari / Nigerian Garri / Crispy Nigerian Ijebu Gari 5lb,${env.abxlab_url}enerem-ijebu-gari-nigerian-garri-crispy-nigerian-ijebu-gari-5lb.html,18.99,80.0,4,0.1701308698999229,3.0,0.2493421052631578,3.0,1.7978919006523228
Chocolate,"Ethel M. Chocolates Classic Collection Candy Gift Box 16Piece Premium Chocolate Assortment, 14.51 Ounce",${env.abxlab_url}ethel-m-chocolates-classic-collection-candy-gift-box-16piece-premium-chocolate-assortment-14-51-ounce.html,34.98,90.0,12,Milk Chocolate Rocks 3 pound bag (48 ounces of candy coated chocolate pebbles),${env.abxlab_url}milk-chocolate-rocks-3-pound-bag-48-ounces-of-candy-coated-chocolate-pebbles.html,31.19,85.0,12,Woodstock Candy ~ 1991~ 31st Birthday Gifts for Women and Men ~ Vintage Assorted Candy for Him or Her ~ Retro Snack Pack for 31 Year Old Man or Woman ~ Nostalgic Candy Present Box,${env.abxlab_url}woodstock-candy-1991-31st-birthday-gifts-for-women-and-men-vintage-assorted-candy-for-him-or-her-retro-snack-pack-for-31-year-old-man-or-woman-nostalgic-candy-present-box.html,38.9,88.0,12,0.1215133055466494,5.0,0.1120640365923385,2.0,2.0543093685559515
Wine,"Underwood The Bubbles Can, 375 ml",${env.abxlab_url}underwood-the-bubbles-can-375-ml.html,28.33,73.0,11,"Barefoot Cabernet Sauvignon, 1.5 L",${env.abxlab_url}barefoot-cabernet-sauvignon-1-5-l.html,26.19,67.0,3,"Presto Sparkling Rosé, 250 ml",${env.abxlab_url}presto-sparkling-rose-250-ml.html,31.84,70.0,2,0.0817105765559372,6.0,0.1238969290504765,3.0,2.248745409978157
Digital Cameras,HP PhotoSmart 635 2.1 MP Digital Camera w/3x Optical,${env.abxlab_url}hp-photosmart-635-2-1-mp-digital-camera-w-3x-optical.html,46.37,72.0,12,Samsung SL605 12.2 MP Digital Camera with 5X Optical Zoom and 2.7-Inch LCD Screen (Blue),${env.abxlab_url}samsung-sl605-12-2-mp-digital-camera-with-5x-optical-zoom-and-2-7-inch-lcd-screen-blue.html,39.95,67.0,12,Canon Power Shot A50 Powershot 0.8MP Digital Camera,${env.abxlab_url}canon-power-shot-a50-powershot-0-8mp-digital-camera.html,49.95,70.0,4,0.1607008760951187,5.0,0.07720508949752,2.0,2.2539831463903948
Deodorants & Antiperspirants,Avon Haiku Roll On Anti Perspirant Deodorant 2.6 fl.oz. Lot 6 pcs.,${env.abxlab_url}avon-haiku-roll-on-anti-perspirant-deodorant-2-6-fl-oz-lot-6-pcs.html,16.3,93.0,12,Gillette Clear Gel Cool Wave Anti-Perspirant/Deodorant 3 Oz (Pack of 2) (packaging may vary),${env.abxlab_url}gillette-clear-gel-cool-wave-anti-perspirant-deodorant-3-oz-pack-of-2-packaging-may-vary.html,14.3,87.0,11,Lafe's Natural Deodorant | 3oz Roll-On Aluminum Free Natural Deodorant for Men & Women | Paraben Free & Baking Soda Free with 24-Hour Protection | Citrus & Bergamot - Formerly Active | 3 Pack | Packaging May Vary,${env.abxlab_url}lafe-s-natural-deodorant-3oz-roll-on-aluminum-free-natural-deodorant-for-men-women-paraben-free-baking-soda-free-with-24-hour-protection-citrus-bergamot-formerly-active-3-pack-packaging-may-vary.html,18.99,90.0,8,0.1398601398601398,6.0,0.1650306748466256,3.0,2.3395632588270616
Toothpaste,PerioScript® Oral Cleansing Concentrate 4 oz Bottle,${env.abxlab_url}perioscriptr-oral-cleansing-concentrate-4-oz-bottle.html,23.89,82.0,12,"Natural Dentist All-In-One Toothpaste, Peppermint,5 Ounces (Pack of 3)",${env.abxlab_url}natural-dentist-all-in-one-toothpaste-peppermint-5-ounces-pack-of-3.html,22.19,77.0,12,"Sensodyne Sensodyne Fluoride Toothpaste Fresh Mint, Fresh Mint 4 oz (Pack of 3)",${env.abxlab_url}sensodyne-sensodyne-fluoride-toothpaste-fresh-mint-fresh-mint-4-oz-pack-of-3.html,25.08,80.0,1,0.0766110860748084,5.0,0.0498116366680618,2.0,2.3743091090285193
Earbud Headphones,JBL Reflect Mini 2 Wireless in-Ear Sport Headphones with Three-Button Remote and Microphone - Green,${env.abxlab_url}jbl-reflect-mini-2-wireless-in-ear-sport-headphones-with-three-button-remote-and-microphone-green.html,24.6,65.0,12,"UGREEN Wired Lightning Headphones MFi Certified for iPhone, in-Ear Earphones with Microphone and Volume Control Wired Lightning Earbuds Compatible with iPhone 13 Mini Pro Max 12 11 Pro Max, Black",${env.abxlab_url}ugreen-wired-lightning-headphones-mfi-certified-for-iphone-in-ear-earphones-with-microphone-and-volume-control-wired-lightning-earbuds-compatible-with-iphone-13-mini-pro-max-12-11-pro-max-black.html,21.99,60.0,3,"Thore Type C Headphones, in-Ear Wired Earbuds with Microphone & Volume Control Mic Earphones for Samsung Galaxy Note/S20/S21/S22 Plus/Ultra/FE, Pixel 4/5/6 Pro & More, Black (USB-C Connection)",${env.abxlab_url}thore-type-c-headphones-in-ear-wired-earbuds-with-microphone-volume-control-mic-earphones-for-samsung-galaxy-note-s20-s21-s22-plus-ultra-fe-pixel-4-5-6-pro-more-black-usb-c-connection.html,29.99,63.0,12,0.1186903137789906,5.0,0.2191056910569104,2.0,2.481661509111679
Cereals,Nature valley protein chewy bar 26 ct.,${env.abxlab_url}nature-valley-protein-chewy-bar-26-ct.html,23.99,87.0,11,"Bob's Red Mill Quick Cooking 100% Whole Grain Oats, 112 Ounce",${env.abxlab_url}bob-s-red-mill-quick-cooking-100-whole-grain-oats-112-ounce.html,21.85,84.0,18,"Cascadian Farm Organic Granola, Maple Brown Sugar Cereal, 15 oz (Pack of 6)",${env.abxlab_url}cascadian-farm-organic-granola-maple-brown-sugar-cereal-15-oz-pack-of-6.html,29.58,85.0,12,0.0979405034324941,3.0,0.2330137557315548,2.0,2.6202930091962426
Lenses,Fujinon XF18mmF1.4 R LM WR,${env.abxlab_url}fujinon-xf18mmf1-4-r-lm-wr.html,999.0,100.0,10,Voigtlander Nokton 40mm f/1.2 Aspherical Lens for Sony E-Mount,${env.abxlab_url}voigtlander-nokton-40mm-f-1-2-aspherical-lens-for-sony-e-mount.html,849.0,95.0,12,Nikon 200-500mm f/5.6E ED VR AF-S NIKKOR Zoom Lens Nikon Digital SLR Cameras – (Renewed),${env.abxlab_url}nikon-200-500mm-f-5-6e-ed-vr-af-s-nikkor-zoom-lens-nikon-digital-slr-cameras-renewed.html,1208.0,98.0,8,0.1766784452296819,5.0,0.2092092092092092,2.0,2.6635506177555643
Deodorants & Antiperspirants,"Cleure Hypoallergenic 3-in-1 Spray Deodorant, Free of Fragrance, Paraben, Salicylate, Gluten and Aluminum Free , Unscented, 8 oz",${env.abxlab_url}cleure-hypoallergenic-3-in-1-spray-deodorant-free-of-fragrance-paraben-salicylate-gluten-and-aluminum-free-unscented-8-oz.html,10.0,82.0,12,Linha Tradicional Giovanna Baby - Desodorante Antitranspirante Roll On Classic 50ml - (Giovanna Baby Classic Collection - Classic Deodorant & Antiperspirant Roll On 1.69 Fl Oz),${env.abxlab_url}linha-tradicional-giovanna-baby-desodorante-antitranspirante-roll-on-classic-50ml-giovanna-baby-classic-collection-classic-deodorant-antiperspirant-roll-on-1-69-fl-oz.html,8.98,80.0,4,Fa Fresh & Dry Green Tea Antiperspirant Spray Deodorant - 150 ml,${env.abxlab_url}fa-fresh-dry-green-tea-antiperspirant-spray-deodorant-150-ml.html,10.95,80.0,4,0.1135857461024498,2.0,0.0949999999999999,2.0,3.0456570155902014
Cereals,"Augason Farms 5-10133 Maple Brown Sugar Oatmeal Super Can Food Storage, 10 Can with 4 Individual Pouches",${env.abxlab_url}augason-farms-5-10133-maple-brown-sugar-oatmeal-super-can-food-storage-10-can-with-4-individual-pouches.html,13.99,73.0,8,"Quaker Grits Jalapeno Cheddar, Hot & Spicy 11.8 Ounce ( 2 Pack)",${env.abxlab_url}quaker-grits-jalapeno-cheddar-hot-spicy-11-8-ounce-2-pack.html,12.49,68.0,12,"Kashi Go Breakfast Cereal, Honey Almond Flax Crunch, Non-GMO Project Verified, 14 oz Box (4 Boxes)",${env.abxlab_url}kashi-go-breakfast-cereal-honey-almond-flax-crunch-non-gmo-project-verified-14-oz-box-4-boxes.html,15.16,68.0,12,0.1200960768614892,5.0,0.0836311651179413,5.0,3.065859646974192
Speakers,Klipsch RP-400M Reference Premiere Bookshelf Speakers - Pair (Ebony),${env.abxlab_url}klipsch-rp-400m-reference-premiere-bookshelf-speakers-pair-ebony.html,399.0,88.0,12,Edifier S1000MKII Audiophile Active Bookshelf 2.0 Speakers - 120w Speakers Bluetooth 5.0 with aptX HD - Optical Input - S1000MK2 Powered Near-Field Monitor Speaker with Class D Amp,${env.abxlab_url}edifier-s1000mkii-audiophile-active-bookshelf-2-0-speakers-120w-speakers-bluetooth-5-0-with-aptx-hd-optical-input-s1000mk2-powered-near-field-monitor-speaker-with-class-d-amp.html,349.99,82.0,12,"ELAC Uni-Fi 2.0 UC52 Center Speaker (Each), Black (UC52-BK)",${env.abxlab_url}elac-uni-fi-2-0-uc52-center-speaker-each-black-uc52-bk.html,459.98,84.0,11,0.1400325723592102,6.0,0.1528320802005013,4.0,3.2914586102388457
Deodorants & Antiperspirants,"Right Guard Sport Aerosol Deodorant, Fresh, 8.5 oz, 2 pk",${env.abxlab_url}right-guard-sport-aerosol-deodorant-fresh-8-5-oz-2-pk.html,20.62,92.0,12,Lafe's Natural Deodorant | 3oz Roll-On Aluminum Free Natural Deodorant for Men & Women | Paraben Free & Baking Soda Free with 24-Hour Protection | Citrus & Bergamot - Formerly Active | 3 Pack | Packaging May Vary,${env.abxlab_url}lafe-s-natural-deodorant-3oz-roll-on-aluminum-free-natural-deodorant-for-men-women-paraben-free-baking-soda-free-with-24-hour-protection-citrus-bergamot-formerly-active-3-pack-packaging-may-vary.html,18.99,90.0,8,6 Pack Dove Men + Care Elements Mineral Talc Sandalwood Antiperspirant Spray 150ml,${env.abxlab_url}6-pack-dove-men-care-elements-mineral-talc-sandalwood-antiperspirant-spray-150ml.html,23.59,90.0,2,0.0858346498156926,2.0,0.144034917555771,2.0,3.3128010709603135
Toothpaste,"Pasta Dentifrica Couto Medical Toothpaste 2 Oz, 3 Boxes",${env.abxlab_url}pasta-dentifrica-couto-medical-toothpaste-2-oz-3-boxes.html,16.36,98.0,10,"Crest Charcoal 3D White Toothpaste, Whitening Therapy, with Tea Tree Oil, Refreshing Mint flavor, 4.1 oz, Pack of 3",${env.abxlab_url}crest-charcoal-3d-white-toothpaste-whitening-therapy-with-tea-tree-oil-refreshing-mint-flavor-4-1-oz-pack-of-3.html,14.99,92.0,12,"Parodontax Extra Fresh Toothpaste, 3.4 oz. Per Tube (2 Pack)",${env.abxlab_url}parodontax-extra-fresh-toothpaste-3-4-oz-per-tube-2-pack.html,18.99,96.0,5,0.0913942628418945,6.0,0.1607579462102689,2.0,3.357454733473497
Cereals,Nature valley protein chewy bar 26 ct.,${env.abxlab_url}nature-valley-protein-chewy-bar-26-ct.html,23.99,87.0,11,"Low Karb NuTrail, Keto Blueberry Nut Granola Healthy Breakfast Cereal, Low Carb Snacks & Food, Almonds, Pecans, Coconut and More, 3 g Net Carbs, 1.37 lb, 22 Oz",${env.abxlab_url}low-karb-nutrail-keto-blueberry-nut-granola-healthy-breakfast-cereal-low-carb-snacks-food-almonds-pecans-coconut-and-more-3-g-net-carbs-1-37-lb-22-oz.html,21.0,85.0,12,"Cascadian Farm Organic Granola, Maple Brown Sugar Cereal, 15 oz (Pack of 6)",${env.abxlab_url}cascadian-farm-organic-granola-maple-brown-sugar-cereal-15-oz-pack-of-6.html,29.58,85.0,12,0.1423809523809523,2.0,0.2330137557315548,2.0,3.6215788324500284
Breads,"Reduced Carb/Flax, Oat Bran & Whole Wheat Tortillas, 6 tortillas",${env.abxlab_url}reduced-carb-flax-oat-bran-whole-wheat-tortillas-6-tortillas.html,13.99,73.0,8,Whole Foods Market Cornbread,${env.abxlab_url}whole-foods-market-cornbread.html,11.97,67.0,3,Ener-G Light Tapioca Loaf - 8 oz - 2 pk,${env.abxlab_url}ener-g-light-tapioca-loaf-8-oz-2-pk.html,15.0,68.0,12,0.1687552213868003,6.0,0.0721944245889921,5.0,4.306243187191233
Cell Phones,Xiaomi Redmi Note 10 Pro | 128GB 6GB RAM | Factory Unlocked (GSM ONLY | Not Compatible with Verizon/Sprint) | International Model (Glacier Blue),${env.abxlab_url}xiaomi-redmi-note-10-pro-128gb-6gb-ram-factory-unlocked-gsm-only-not-compatible-with-verizon-sprint-international-model-glacier-blue.html,300.0,73.0,12,"LG G8 ThinQ LMG820TM (128GB, 6GB RAM) 6.1"" 4G LTE AT&T, T-Mobile Unlocked - GSM ONLY (AURORA BLACK)",${env.abxlab_url}lg-g8-thinq-lmg820tm-128gb-6gb-ram-6-1-4g-lte-at-t-t-mobile-unlocked-gsm-only-aurora-black.html,257.72,67.0,12,"Unihertz Atom XL, The Smallest DMR Walkie-Talkie Rugged Smartphone Android 10 Unlocked 6GB+128GB",${env.abxlab_url}unihertz-atom-xl-the-smallest-dmr-walkie-talkie-rugged-smartphone-android-10-unlocked-6gb-128gb.html,339.99,68.0,12,0.1640540121061616,6.0,0.1333,5.0,4.309416048424646
Video Projectors,NEC NP-M311W Projector,${env.abxlab_url}nec-np-m311w-projector.html,642.77,93.0,4,Epson BrightLink Pro 1430Wi LCD Projector - HDTV - 16:10,${env.abxlab_url}epson-brightlink-pro-1430wi-lcd-projector-hdtv-16-10.html,574.99,87.0,9,Mitsubishi HC1600 720p DLP Home Theater Projector,${env.abxlab_url}mitsubishi-hc1600-720p-dlp-home-theater-projector.html,669.95,87.0,12,0.1178803109619297,6.0,0.0422857320659023,6.0,5.239335827888671
